"Id","Player","FantPt","Season","Age","Team","G","GS","FantPt","PPR","FantPt","PPR/G","Pos"
248,"Omar Brown","0.0",2024,24,"GNB",2,0,"0.0","0.0","0.00","0.00","S"
249,"Orlando Brown Jr.","0.0",2024,28,"CIN",11,11,"0.0","0.0","0.00","0.00","LT"
250,"Pharaoh Brown","4.5",2024,30,"SEA",15,7,"4.5","12.5","0.3","0.83","TE"
251,"Spencer Brown","0.0",2024,26,"BUF",15,15,"0.0","0.0","0.00","0.00","RT"
252,"Sydney Brown","0.0",2024,24,"PHI",11,0,"0.0","0.0","0.00","0.00","S"
253,"Tony Brown","0.0",2024,29,"CLE",6,0,"0.0","0.0","0.00","0.00","DB"
254,"Tre Brown","0.0",2024,27,"SEA",13,3,"0.0","0.0","0.00","0.00","CB"
255,"Trent Brown","0.0",2024,31,"CIN",3,3,"0.0","0.0","0.00","0.00","OT"
256,"Baron Browning","0.0",2024,25,"ARI,DEN",13,3,"0.0","0.0","0.00","0.00","OLB"
257,"Jack Browning","0.0",2024,23,"TAM",5,0,"0.0","0.0","0.00","0.00","P"
258,"Jake Browning","0.0",2024,28,"CIN",3,0,"0.0","0.0","0.00","0.00","QB"
259,"Jarvis Brownlee","0.0",2024,23,"TEN",17,14,"0.0","0.0","0.00","0.00","LCB"
260,"Daniel Brunskill","0.0",2024,30,"TEN",17,10,"0.0","0.0","0.00","0.00","C"
261,"Logan Bruss","0.0",2024,26,"TEN,LAR",11,3,"0.0","0.0","0.00","0.00","OG"
262,"Taven Bryan","0.0",2024,28,"IND",17,6,"0.0","0.0","0.00","0.00","DT"
263,"Coby Bryant","0.0",2024,25,"SEA",17,11,"0.0","0.0","0.00","0.00","SS"
264,"Harrison Bryant","8.6",2024,26,"LVR",13,3,"8.6","17.6","0.66","1.35","TE"
265,"Myles Bryant","0.0",2024,26,"HOU",11,0,"0.0","0.0","0.00","0.00","CB"
266,"DeForest Buckner","0.0",2024,30,"IND",12,11,"0.0","0.0","0.00","0.00","DT"
267,"Javon Bullard","0.0",2024,22,"GNB",15,11,"0.0","0.0","0.00","0.00","SS"
268,"Jonathan Bullard","0.0",2024,31,"MIN",17,17,"0.0","0.0","0.00","0.00","RDE"
269,"Calen Bullock","0.0",2024,21,"HOU",17,13,"0.0","0.0","0.00","0.00","FS"
270,"Spencer Burford","0.0",2024,24,"SFO",15,0,"0.0","0.0","0.00","0.00","OL"
271,"Oren Burks","0.0",2024,29,"PHI",17,2,"0.0","0.0","0.00","0.00","LB"
